Control ID, People-Process-Technology
AC.L2-3.1.1[a],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.1[b],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.1[c],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.1[d],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.1[e],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.1[f],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.2[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.2[b],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.3[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.3[b],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.3[c],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.3[d],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.3[e],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.4[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.4[b],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.4[c],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.5[a],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.5[b],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.5[c],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.5[d],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.6[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.6[b],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.7[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.7[b],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.7[c],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.7[d],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.8[a],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.8[b],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.9[a],"Administrative (e.g., policies, standards & procedures)"
AC.L2-3.1.9[b],"Technical Configurations (e.g., security settings)"
AC.L2-3.1.10[a],"Technical Configurations (e.g., security settings)"
